Entity,Code_x,Capture fisheries production (metric tons),Population_2020
Saudi Arabia,SAU,57805.0,30991205
Senegal,SEN,458363.47,16789215
Serbia,SRB,1932.0,6907817
Seychelles,SYC,139647.6,120299
Sierra Leone,SLE,200630.0,7912558
Singapore,SGP,355.59,5620150
Sint Maarten (Dutch part),SXM,253.0,41026
Slovakia,SVK,1736.0,5455028
Slovenia,SVN,312.02,2102419
Solomon Is.,SLB,41067.67,744507
Somalia,SOM,30000.0,16651200
South Africa,ZAF,603020.1,60562374
South Korea,KOR,1376149.2,51858480
S. Sudan,SSD,30000.0,10698470
Spain,ESP,804179.0,47679482
Sri Lanka,LKA,387042.8,22561807
Sudan,SDN,37660.0,46789237
Suriname,SUR,29772.0,612322
Sweden,SWE,179642.8,10353680
Switzerland,CHE,1485.93,8640582
Syria,SYR,3845.0,21049428
Tajikistan,TJK,1809.86,9749310
Tanzania,TZA,511056.16,60972801
Thailand,THA,1588859.4,71641484
Togo,TGO,18034.0,8669722
Tonga,TON,1097.12,105719
Trinidad and Tobago,TTO,12912.65,1481026
Tunisia,TUN,121822.0,11974058
Turkey,TUR,364404.88,86091691
Turkmenistan,TKM,14605.0,6949915
Turks and Caicos Islands,TCA,1297.0,44404
Tuvalu,TUV,11295.0,10423
Uganda,UGA,566261.2,44457149
Ukraine,UKR,69467.1,44680009
United Arab Emirates,ARE,58949.0,9448529
United Kingdom,GBR,626404.8,67351860
United States of America,USA,4267709.0,339436157
United States Virgin Islands,VIR,355.61,87724
Upper-middle-income countries,,33350126.0,2789064927
Uruguay,URY,62879.87,3398967
Uzbekistan,UZB,46100.02,33586372
Vanuatu,VUT,51409.42,298868
Venezuela,VEN,195900.02,28444078
Vietnam,VNM,3506056.8,98079196
World,OWID_WRL,90592250.0,7887001284
Yemen,YEM,131306.52,36134868
Zambia,ZMB,106836.0,19059395
Zimbabwe,ZWE,26671.55,15526888
